variant,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,label,researcher_class,tp1_fraction_of_target,ma_trail_window,ma_exit_buffer_pct,elapsed_seconds,vol_failure_threshold,close_retrace_pct,structure_trail_lookback,structure_trail_buffer_pct,trailing_stop_fraction_of_flagpole
baseline_static,2020-01-02,2026-03-16,0.0788306250634156,2.576408009944262,-2.4975773848808465,0.012829048721767,0.013261835107366,0.967865407405411,1.2047020328971094,0.0143382917770098,0.8947403861830502,0.3226666666666666,1.738,5.404708663468657,292,3132.0984365850004,-1.0552827399945246,150,147,145,2,0.98,0.4482758620689655,0.0285971316269734,-0.0178812794051329,1.844488647665584,20000.0,,,,,,,,,,,
tp1_trailing_default,2020-01-02,2026-03-16,0.0736071145640455,2.576408009944262,-2.5028008953802168,0.0120035220635597,0.0094160856679812,1.2719327447127058,1.515343353017429,0.008948275348718,1.3414341418628133,0.2466666666666666,0.942,5.391686491258927,293,3139.610935955,-1.0503153722939005,150,147,146,1,0.98,0.5958904109589042,0.0276525217007915,0.028546010922491,2.2429096652367715,20000.0,,,,,,,,,,,
,2020-01-02,2026-03-16,0.0617156521396109,2.576408009944262,-2.514692357804651,0.0101116521518711,0.0102838051959013,0.9834796243671264,1.1485824319804867,0.0118201360145762,0.8554598812908574,0.2553333333333333,1.0686666666666669,5.443944330547728,293,3130.02686039,-1.0612505226551747,150,147,146,1,0.98,0.5,0.0237934123582959,0.0006510394099846,1.9342526525025665,20000.0,ma_tp1=0.5_win=10_buf=0.0,BullFlagMaTrailAfterTp1Researcher,0.5,10.0,0.0,554.21,,,,,
,2020-01-02,2026-03-16,0.0732092109777655,2.576408009944262,-2.5031987989664968,0.0119405002716337,0.012022153330773,0.9933558765832734,1.2360734914723135,0.0142785587026859,0.8362538909048037,0.312,1.47,5.42380687321536,292,3126.327522235,-1.0581367945220213,150,147,145,2,0.98,0.4551724137931034,0.0268373065730898,-0.0160744251960832,1.8551046724592348,20000.0,volume_tp1=0.5_threshold=2.0,BullFlagVolumeFailureAfterTp1Researcher,0.5,,,574.43,2.0,,,,
,2020-01-02,2026-03-16,0.0625872752787757,2.576408009944262,-2.5138207346654866,0.0102509200186333,0.0104685063779368,0.979479963936457,1.1908392527643152,0.0158216343873462,0.6479052522432052,0.2553333333333333,1.1206666666666667,5.447304551866748,293,3130.967221225,-1.0609952690614586,150,147,146,1,0.98,0.4863013698630137,0.0239263284354686,-0.0021180340641125,1.9246682133305528,20000.0,close_retrace_tp1=0.5_pct=0.05,BullFlagCloseRetraceAfterTp1Researcher,0.5,,,459.21,,0.05,,,
,2020-01-02,2026-03-16,0.0669715336529761,2.576408009944262,-2.509436476291286,0.0109499983923042,0.0102993088174316,1.0625679430796806,1.254812264541978,0.0103859338734672,1.0543104284803957,0.26,1.0873333333333333,5.432572974058238,293,3134.5138470250004,-1.0570417424487537,150,147,146,1,0.98,0.5342465753424658,0.0256681131509169,0.0084631567118985,2.011865096993831,20000.0,structure_tp1=0.5_lb=5_buf=0.0,BullFlagStructureTrailAfterTp1Researcher,0.5,,,483.38,,,5.0,0.0,
,2020-01-02,2026-03-16,0.0590916279767759,2.576408009944262,-2.517316381967486,0.0096918107786567,0.0084080484683475,1.1513553248675257,1.3466501219094018,0.0099125348521786,0.9777328325384498,0.224,0.7893333333333333,5.418599348500929,293,3128.364523225,-1.0587845522757946,150,147,146,1,0.98,0.6164383561643836,0.0222596920377027,0.0221088512766978,2.087414117969318,20000.0,trailing_tp1=0.4_trail=0.2,BullFlagTrailingAfterTp1Researcher,0.4,,,471.44,,,,,0.2
,2020-01-02,2026-03-16,0.0677125214537364,2.576408009944262,-2.5086954884905257,0.0110679141236957,0.0091469348543818,1.2079626464878788,1.4044330440043369,0.0080585356369895,1.3734398682674884,0.2426666666666666,0.902,5.404077577489069,293,3135.155046265,-1.0541995562490802,150,147,146,1,0.98,0.5958904109589042,0.0254211640951787,0.0303324331141573,2.146080071391677,20000.0,trailing_tp1=0.5_trail=0.2,BullFlagTrailingAfterTp1Researcher,0.5,,,488.23,,,,,0.2
,2020-01-02,2026-03-16,0.0736071145640455,2.576408009944262,-2.5028008953802168,0.0120035220635597,0.0094160856679812,1.2719327447127058,1.515343353017429,0.008948275348718,1.3414341418628133,0.2466666666666666,0.942,5.391686491258927,293,3139.610935955,-1.0503153722939005,150,147,146,1,0.98,0.5958904109589042,0.0276525217007915,0.028546010922491,2.2429096652367715,20000.0,trailing_plus_volume_tp1=0.5_trail=0.25_vol=2.0,BullFlagTrailingVolumeFailureResearcher,0.5,,,464.23,2.0,,,,0.25
,2020-01-02,2026-03-16,0.0736460634898406,2.576408009944262,-2.502761946454421,0.0120096899284971,0.009404226372883,1.2741729681108942,1.5149825283504132,0.0089479338151801,1.3421746490930455,0.2446666666666666,0.9386666666666666,5.391761231954749,293,3139.64251016,-1.050247358880552,150,147,146,1,0.98,0.5958904109589042,0.027646612870598,0.028546010922491,2.2435494733787174,20000.0,trailing_plus_close_tp1=0.5_trail=0.25_close=0.05,BullFlagTrailingCloseRetraceResearcher,0.5,,,493.04,,0.05,,,0.25
