combo_id,label,status,retained_trade_ratio,retained_trade_count,universe,ma_windows,pivot_window,flagpole_lookback_bars,min_flagpole_bars,max_flagpole_bars,min_flagpole_return,min_flag_bars,max_flag_bars,max_flag_retrace_ratio,max_flag_channel_slope_pct_per_bar,max_flag_width_pct,min_breakout_body_pct,max_breakout_upper_shadow_pct,max_breakout_lower_shadow_pct,stop_buffer_pct,measured_move_fraction,min_reward_r,require_follow_through_close_gt_signal_close,max_holding_days,enable_hard_stop,enable_take_profit,enable_time_stop,start_date,end_date,total_return,benchmark_total_return,excess_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,average_holdings_count,total_turnover,total_trades,total_transaction_costs,information_ratio,planned_trade_count,entered_trade_count,closed_trade_count,open_trade_count,entry_fill_rate,trade_win_rate,average_trade_return,median_trade_return,profit_factor,fixed_entry_notional,signal_stack_spread_pct__max,peak_high_to_sma120_pct__max
0,"signal_stack_spread_pct__max=0.1, peak_high_to_sma120_pct__max=0.15",ok,0.21180555555555555,61,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.03106406351800528,2.576408009944262,-2.545343946426257,0.0051525742693845356,0.004584318232157842,1.1233731147364923,1.1254591258395243,0.007745878266552264,0.6652020716145306,0.12933333333333333,0.42533333333333334,1.5812421785241069,82,900.843981995,-1.0750710370185246,41,41,41,0,1.0,0.5365853658536586,0.04184385044889978,0.047694404497334836,2.6324366727176773,20000.0,0.1,0.15
2,"signal_stack_spread_pct__max=0.1, peak_high_to_sma120_pct__max=0.3",ok,0.3263888888888889,94,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.046649809711290624,2.576408009944262,-2.5297582002329717,0.007689271943788434,0.006856745824934157,1.1205717269100528,1.0978335065854876,0.008300276141258056,0.9263874855400879,0.176,0.6873333333333334,2.344786271233383,124,1349.6962887099999,-1.066359320856432,62,62,62,0,1.0,0.5161290322580645,0.04078408972957684,0.024732701641139342,2.5251739250340797,20000.0,0.1,0.3
1,"signal_stack_spread_pct__max=0.1, peak_high_to_sma120_pct__max=0.22",ok,0.3194444444444444,92,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04501484150701529,2.576408009944262,-2.531393168437247,0.007424649774482095,0.006660047913127296,1.1140312197523023,1.1053534426330853,0.008289772651591143,0.8956397342280555,0.176,0.6786666666666666,2.2788399124713914,120,1312.0719929850002,-1.0669368850541852,60,60,60,0,1.0,0.5166666666666667,0.0400133521722635,0.024732701641139342,2.5365211372849807,20000.0,0.1,0.22
3,"signal_stack_spread_pct__max=0.12, peak_high_to_sma120_pct__max=0.15",ok,0.2361111111111111,68,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.030162385953040438,2.576408009944262,-2.5462456239912217,0.005004845549266168,0.0051650666040861945,0.9691537301156191,0.925436486851015,0.00915903835853682,0.5464378849992834,0.13466666666666666,0.476,1.8174134692635162,94,1032.13004696,-1.0764114832472977,47,47,47,0,1.0,0.5106382978723404,0.03551750456208069,0.005219333332474741,2.3080219253882372,20000.0,0.12,0.15
6,"signal_stack_spread_pct__max=0.15, peak_high_to_sma120_pct__max=0.15",ok,0.2361111111111111,68,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.030162385953040438,2.576408009944262,-2.5462456239912217,0.005004845549266168,0.0051650666040861945,0.9691537301156191,0.925436486851015,0.00915903835853682,0.5464378849992834,0.13466666666666666,0.476,1.8174134692635162,94,1032.13004696,-1.0764114832472977,47,47,47,0,1.0,0.5106382978723404,0.03551750456208069,0.005219333332474741,2.3080219253882372,20000.0,0.15,0.15
4,"signal_stack_spread_pct__max=0.12, peak_high_to_sma120_pct__max=0.22",ok,0.4270833333333333,123,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.047923043315125646,2.576408009944262,-2.5284849666291365,0.007895108704953913,0.008771894992477389,0.9009111564410828,0.895835272300914,0.012199880981821565,0.647146371076736,0.23866666666666667,0.98,3.084343887196869,162,1764.1631848749998,-1.0679077886818122,81,81,81,0,1.0,0.48148148148148145,0.03144188031516812,-0.008285413334420984,2.03608147421727,20000.0,0.12,0.22
5,"signal_stack_spread_pct__max=0.12, peak_high_to_sma120_pct__max=0.3",ok,0.4618055555555556,133,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.04867029260430589,2.576408009944262,-2.5277377173399564,0.00801581556352926,0.00922573155220066,0.8700164597980194,0.8760754676008962,0.01706493399856146,0.4697243812489974,0.24466666666666667,1.0146666666666666,3.3294315428244774,176,1903.035895695,-1.068244150035235,88,88,88,0,1.0,0.4659090909090909,0.029461172610297858,-0.014929789953657159,1.9168799429411432,20000.0,0.12,0.3
7,"signal_stack_spread_pct__max=0.15, peak_high_to_sma120_pct__max=0.22",ok,0.5347222222222222,154,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05019138762109043,2.576408009944262,-2.5262166223231715,0.008261304600727382,0.009995567509244647,0.8281115208916634,0.889470246169967,0.013669472283284745,0.6043616336842381,0.258,1.2293333333333334,3.766251908006197,198,2152.86837891,-1.0674796082034133,100,99,99,0,0.99,0.46464646464646464,0.02663078319801892,-0.01607442519608324,1.845827004788146,20000.0,0.15,0.22
8,"signal_stack_spread_pct__max=0.15, peak_high_to_sma120_pct__max=0.3",ok,0.6354166666666666,183,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.05144615062767621,2.576408009944262,-2.524961859316586,0.008463587830819908,0.01130891449860644,0.7509154700271577,0.8608940496432387,0.017614200112793688,0.4804979946079167,0.2826666666666667,1.426,4.422083834073135,234,2526.130872325,-1.06997586988871,119,117,117,0,0.9831932773109243,0.4358974358974359,0.02314661552386299,-0.026456618599134396,1.6699013858193417,20000.0,0.15,0.3
-1,baseline,ok,1.0,288,csi500,"(20, 60, 120)",1,20,5,20,0.12,4,15,0.3,0.008,0.12,0.6,0.35,0.5,0.01,0.75,1.5,False,,True,True,False,2020-01-02,2026-03-16,0.06641105713234108,2.576408009944262,-2.509996952811921,0.010860762725673823,0.016698985684699526,0.6552355504311164,0.829632902645451,0.024772375011200554,0.43842234427515525,0.3426666666666667,2.176,6.9154095056379,379,4007.21386766,-1.0711978036705174,196,191,188,3,0.9744897959183674,0.4095744680851064,0.017798688441843697,-0.030789792564730967,1.4374542364369949,20000.0,,
